Date_time,All sky irradiance,Clear sky irradiance,ALLSKY  ICI,Temperature,Dew point,Wet bulb,Relative humidity,Precipitation,Surface pressure,Wind direction,ALLSKY SFC PAR TOT,ALLSKY SFC UV INDEX,CLRSKY SFC PAR TOT,QV2M,Wind speed at 2m
1/1/10,3.51,3.46,0.71,14.11,-8.76,2.67,19.62,0,96.39,145.56,60.12,0.48,60.32,1.95,1.16
1/2/10,3.31,3.33,0.66,13.4,-8.78,2.31,20.69,0,96.52,141,56.69,0.47,57.84,1.95,1
1/3/10,1.16,2.46,0.23,10.69,-3.81,3.44,37.38,0.05,96.73,75,21.05,0.19,41.63,3.05,1.02
1/4/10,3.19,3.17,0.64,10.9,-1.8,4.55,44.88,0,96.64,230.88,54.38,0.45,54.98,3.48,1.31
1/5/10,3.65,3.64,0.73,14.12,-6.95,3.58,23.75,0,96.2,254.06,62.85,0.53,63.7,2.32,1.2
1/6/10,3.58,3.63,0.71,14.51,-9.48,2.51,18.31,0,96.24,191.94,61.17,0.59,62.78,1.83,1.27
1/7/10,2.24,3.1,0.45,13.58,-10.08,1.75,18.19,0,96.44,142.94,38.04,0.37,52.32,1.77,1.12
1/8/10,3.19,3.41,0.63,12.08,-9.8,1.15,20.81,0,96.49,210.88,55.54,0.49,59.81,1.77,1.14
1/9/10,3.67,3.63,0.72,13.01,-10.18,1.41,18.75,0,96.43,170.69,63.82,0.51,64.12,1.71,1.12
1/10/10,3.87,3.84,0.76,13.41,-10.33,1.55,18.12,0,96.49,158.31,67.2,0.59,67.7,1.71,1.13
1/11/10,3.46,3.43,0.67,13.35,-12.08,0.64,15.56,0,96.54,177.81,57.99,0.48,58.37,1.46,1.1
1/12/10,2.66,3.19,0.52,12.21,-12.6,-0.2,15.75,0,96.46,143.56,44.59,0.41,52.88,1.4,0.94
1/13/10,3.23,3.18,0.62,11.92,-12.51,-0.29,16.44,0,96.58,210.44,52.43,0.4,52.63,1.4,1.35
1/14/10,2.98,3.42,0.57,12.04,-12.4,-0.18,16.25,0,97.08,192.06,50.95,0.42,58.38,1.4,1.05
