All sky irradiance,Clear sky irradiance,ALLSKY  ICI,Temperature,Dew point,Wet bulb,Surface pressure,ALLSKY SFC PAR TOT,ALLSKY SFC UV INDEX,CLRSKY SFC PAR TOT,QV2M
3.51,3.46,0.71,14.11,-8.76,2.67,96.39,60.12,0.48,60.32,1.95
3.31,3.33,0.66,13.4,-8.78,2.31,96.52,56.69,0.47,57.84,1.95
1.16,2.46,0.23,10.69,-3.81,3.44,96.73,21.05,0.19,41.63,3.05
3.19,3.17,0.64,10.9,-1.8,4.55,96.64,54.38,0.45,54.98,3.48
3.65,3.64,0.73,14.12,-6.95,3.58,96.2,62.85,0.53,63.7,2.32
3.58,3.63,0.71,14.51,-9.48,2.51,96.24,61.17,0.59,62.78,1.83
2.24,3.1,0.45,13.58,-10.08,1.75,96.44,38.04,0.37,52.32,1.77
3.19,3.41,0.63,12.08,-9.8,1.15,96.49,55.54,0.49,59.81,1.77
3.67,3.63,0.72,13.01,-10.18,1.41,96.43,63.82,0.51,64.12,1.71
3.87,3.84,0.76,13.41,-10.33,1.55,96.49,67.2,0.59,67.7,1.71
3.46,3.43,0.67,13.35,-12.08,0.64,96.54,57.99,0.48,58.37,1.46
2.66,3.19,0.52,12.21,-12.6,-0.2,96.46,44.59,0.41,52.88,1.4
3.23,3.18,0.62,11.92,-12.51,-0.29,96.58,52.43,0.4,52.63,1.4
2.98,3.42,0.57,12.04,-12.4,-0.18,97.08,50.95,0.42,58.38,1.4
3.73,3.69,0.7,14.14,-12.17,0.98,96.99,63.54,0.52,63.86,1.46
3.27,3.6,0.62,15.37,-10.72,2.33,96.97,57.05,0.55,63.1,1.65
3.44,3.56,0.64,15.17,-8.95,3.12,96.8,59.13,0.52,61.64,1.95
3.78,3.76,0.7,14.27,-9.16,2.56,96.86,65.67,0.45,66.37,1.89
3.57,3.9,0.66,14.51,-8.7,2.9,96.73,63.48,0.51,70.03,1.95
3.41,3.58,0.62,15.36,-8.12,3.62,96.76,59.66,0.47,63.34,2.08
3.7,3.66,0.67,16.37,-7.38,4.49,96.68,64.23,0.5,64.62,2.2
1.84,3.35,0.34,14.96,-4.41,5.27,96.48,33.68,0.33,58.58,2.87
2.97,3.69,0.53,15.12,-2.61,6.26,96.56,53.11,0.51,65.99,3.23
3,3.28,0.53,16.05,-2.77,6.65,96.38,51.96,0.43,57.33,3.23
3.66,3.62,0.65,16.31,-2.71,6.8,96.62,63.2,0.53,63.67,3.23
3.19,3.72,0.56,16.29,-3.84,6.23,96.58,56.51,0.52,65.8,2.93
2.89,3.51,0.5,16.57,-5.25,5.65,96.49,51.69,0.45,62.82,2.62
1.81,3.35,0.31,13.46,-0.42,6.52,96.46,32.65,0.3,58.04,3.97
2.96,3.3,0.51,11.13,5.27,8.2,96.61,50.74,0.34,56.5,5.74
4.08,4.16,0.7,12.29,-0.47,5.9,96.7,71.47,0.59,73.73,3.85
3.57,4.15,0.6,14.05,-2.76,5.65,96.37,63.13,0.52,73.26,3.23
3.92,3.92,0.66,13.32,-1.66,5.83,96.48,67.52,0.46,68.46,3.54
4.07,4.07,0.67,13.41,-1.43,5.99,96.54,70.39,0.49,71.3,3.6
4.1,4.26,0.67,13.54,-1.77,5.88,96.52,72.18,0.55,75.78,3.48
3.29,4.06,0.54,14.89,0.74,7.82,96.56,59.05,0.46,72.56,4.27
0.73,3.48,0.12,12.57,5.53,9.05,96.64,14.32,0.12,60.98,5.92
1.19,3.65,0.19,11.85,8.49,10.17,96.59,23.2,0.24,65.68,7.2
1.12,3.43,0.18,11.8,9.51,10.65,96.46,21.86,0.25,60.62,7.75
0.6,3.44,0.09,12.42,10.61,11.51,95.41,12.34,0.12,60.57,8.42
3.18,3.88,0.5,10.63,4.35,7.49,95.44,54.38,0.4,65.45,5.55
4.09,4.68,0.63,10.23,-0.49,4.87,96.59,73.21,0.66,83.57,3.85
2.59,4.49,0.4,10.58,-0.1,5.24,96.61,48.27,0.48,79.27,3.97
3.97,4.08,0.6,13.37,4.76,9.07,96.47,69.23,0.55,71.74,5.55
4.03,4.43,0.61,13.3,3.26,8.28,96.48,72.15,0.7,79.2,5
3.92,4.32,0.59,13.12,3.38,8.25,96.16,69.4,0.65,76.56,5.13
1.89,4.01,0.28,10.49,5.79,8.14,96.09,35.82,0.37,70.58,6.04
4.16,4.51,0.61,10.58,2.47,6.52,96.54,71.73,0.64,78.16,4.76
5,4.98,0.73,11.48,0,5.73,96.68,86.59,0.81,87.05,3.97
4.85,5.06,0.7,12.7,-1.6,5.55,96.38,86.41,0.9,90.59,3.54
4.46,4.98,0.64,15.08,0.53,7.8,96.46,80.66,0.84,89.89,4.15
4.58,4.9,0.65,15.94,2.74,9.34,96.48,83.62,1.02,89.77,4.88
4.61,4.86,0.65,18.47,5.45,11.96,96.25,84.2,1.01,89.03,5.92
3.42,4.66,0.48,17.06,6.99,12.03,96.12,62.98,0.7,84.2,6.53
4.15,4.36,0.58,17.61,7.32,12.46,96.01,73.82,0.8,77.81,6.71
3.8,4.25,0.52,17.09,9.03,13.06,96.02,67.52,0.68,75.3,7.51
1.52,4.36,0.21,15.4,9.5,12.45,96.19,30.19,0.41,78.62,7.75
1.81,4.45,0.24,15.51,10.73,13.12,96.31,34.91,0.44,80.55,8.36
4.7,4.93,0.63,16.71,10.84,13.78,96.29,85.73,1.08,90.57,8.48
2.62,4.79,0.35,17.16,11.08,14.12,96,50.75,0.75,88.65,8.67
4.38,4.86,0.58,17.8,12.57,15.19,95.99,79.22,0.93,88.23,9.52
5.61,5.61,0.73,18.03,7.6,12.82,96.26,101.95,1.22,102.72,6.77
0.93,5.09,0.12,15.42,8.11,11.76,95.85,19.26,0.27,93.96,7.08
4.31,5.46,0.55,14.61,8.72,11.66,95.92,78.98,0.97,100.2,7.32
5.77,5.72,0.73,16.37,8.06,12.21,96.14,105.09,1.21,105.16,7.02
1.7,5.42,0.22,13.01,5.83,9.42,96.16,34.16,0.51,99.08,6.04
5.45,5.62,0.69,16.25,7.82,12.03,96.35,98.63,1.02,102.1,6.9
5.82,5.78,0.73,19.51,6.26,12.89,96.3,103.84,1,103.95,6.23
5.77,5.89,0.72,19.26,5.61,12.44,96.46,102.83,1.12,105.29,5.92
5.37,5.88,0.66,20.17,5.49,12.83,96.48,96.17,1.08,105.09,5.86
