Date_time,All sky irradiance,Clear sky irradiance,ALLSKY ICI,Temperature,Dew point,Wet bulb,Relative humidity,Precipitation,Surface pressure,Wind speed,Wind direction,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,QV2M
1/1/16,3.58,3.68,0.7,9.33,0.09,4.71,56.06,0,97.34,3.59,118.75,63.57,0.55,66.2,4.21
1/2/16,3.2,3.6,0.62,10.96,1.89,6.42,58.25,0,97.26,2.31,145.25,57.87,0.53,65.5,4.82
1/3/16,2.52,3.46,0.49,11.01,6.92,8.96,79.19,1.63,96.91,4.16,153.25,47.44,0.5,64.25,6.59
1/4/16,2.93,3.48,0.57,11.95,10.62,11.29,92.25,10.27,96.35,3.62,161.19,55.34,0.49,65.82,8.36
1/5/16,0.78,3.42,0.15,11.8,10.69,11.24,93.12,24.15,96.7,6.47,216.12,16.23,0.21,64.96,8.36
1/6/16,2.17,3.5,0.41,11.11,9.13,10.12,88.06,13.47,96.98,5.95,237.38,41.66,0.44,65.43,7.51
1/7/16,2.26,3.68,0.43,10.58,8.23,9.4,85.81,23.3,96.74,7.04,264.31,42.86,0.43,68.17,7.08
1/8/16,3.26,3.73,0.62,9.76,6.01,7.89,78.5,0.83,97.12,2.95,265.38,59.17,0.48,68.44,6.04
1/9/16,2.89,3.58,0.55,10.22,6.54,8.37,79.69,0.49,97.57,1.65,191,53.73,0.49,66.09,6.23
1/10/16,2.13,3.39,0.41,10.73,8.12,9.43,85,0.79,97.53,2.31,190.38,40.72,0.4,62.63,7.02
1/11/16,3.08,3.76,0.58,10.19,3.21,6.7,65.81,0,97.75,4,57,56.35,0.48,68.21,5.07
1/12/16,3.95,3.93,0.74,10.65,-1.1,4.78,48.38,0,97.62,3.01,73.88,69.11,0.52,69.53,3.78
1/13/16,2.92,3.76,0.54,10.39,2.69,6.54,64.94,0.06,97.41,2.5,177.88,53.56,0.49,68.39,5.19
1/14/16,3.25,3.83,0.6,10.49,8.37,9.44,87.44,0.18,97.27,1.59,278.88,59.41,0.59,70.02,7.08
1/15/16,2.12,3.68,0.39,10.61,9.25,9.93,91.69,0.56,97.28,2.24,244.75,40.37,0.45,69.18,7.57
