All sky irradiance,Clear sky irradiance,ALLSKY ICI,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
3.58,3.68,0.7,63.57,0.55,66.2
3.2,3.6,0.62,57.87,0.53,65.5
2.52,3.46,0.49,47.44,0.5,64.25
2.93,3.48,0.57,55.34,0.49,65.82
0.78,3.42,0.15,16.23,0.21,64.96
2.17,3.5,0.41,41.66,0.44,65.43
2.26,3.68,0.43,42.86,0.43,68.17
3.26,3.73,0.62,59.17,0.48,68.44
2.89,3.58,0.55,53.73,0.49,66.09
2.13,3.39,0.41,40.72,0.4,62.63
3.08,3.76,0.58,56.35,0.48,68.21
3.95,3.93,0.74,69.11,0.52,69.53
2.92,3.76,0.54,53.56,0.49,68.39
3.25,3.83,0.6,59.41,0.59,70.02
2.12,3.68,0.39,40.37,0.45,69.18
3.2,3.68,0.59,60.1,0.56,69.16
3.27,3.74,0.59,60.68,0.6,69.2
2.23,3.82,0.4,43.11,0.51,71.84
2.72,3.87,0.48,51.84,0.57,72.69
3.21,4.01,0.57,59.95,0.64,74.32
3.38,4.04,0.59,60.84,0.64,72.64
3.04,4.04,0.53,56.17,0.65,73.69
2.11,3.9,0.37,41.01,0.53,72.7
4.11,4.14,0.71,74.34,0.68,75.78
4.18,4.22,0.72,75.23,0.67,76.65
4.24,4.36,0.72,74.97,-999,78.02
2.49,4.31,0.42,46.43,0.49,76.53
4.36,4.35,0.73,76.6,0.68,77.38
4.2,4.24,0.7,78.07,0.81,79.71
2.35,4.3,0.39,45.77,0.62,80.1
2.07,4.12,0.34,40.78,0.55,77.29
4.28,4.55,0.7,76.99,0.77,82.43
4.53,4.51,0.73,81.41,0.73,82.11
4.55,4.53,0.73,82.19,0.71,82.74
4.65,4.65,0.73,82.2,0.74,83.18
4.73,4.71,0.74,84.35,0.77,85
4.83,4.81,0.76,84.88,0.82,85.45
4.89,4.88,0.76,86.32,0.87,86.96
4.95,4.96,0.76,86.76,-999,87.85
5.02,5,0.77,88.11,0.96,88.66
4.89,5.04,0.74,85.15,0.93,88.21
4.99,5.01,0.75,87.45,-999,88.72
4.94,4.94,0.73,87.69,1.01,88.61
4.31,4.97,0.63,76.51,0.98,88.18
4.49,5.04,0.66,80.36,1.01,89.71
5.13,5.11,0.74,92.14,1.03,92.73
5.31,5.29,0.77,94.09,1.18,94.62
4.41,5.16,0.63,80.85,1.13,94.46
3.69,5.01,0.52,70.43,1.01,94.69
5.22,5.31,0.73,94.14,1.11,96.69
5.23,5.29,0.73,93.91,-999,95.95
5.28,5.35,0.73,94.73,1.12,96.76
5.33,5.44,0.73,95.31,1.24,98.06
4.62,5.52,0.62,83.45,1.16,98.62
5.61,5.61,0.76,98.99,1.18,99.79
5.62,5.62,0.75,99.2,1.15,99.98
5.14,5.56,0.68,91.93,1.19,99.41
5.19,5.57,0.68,94.43,1.2,101.35
4.03,5.54,0.52,75.16,0.96,100.93
4.52,5.61,0.59,83.04,1.12,101.95
3.77,5.63,0.48,70.67,1.08,102.12
5.43,5.88,0.7,98.03,1.41,105.89
4.7,5.84,0.59,85.7,1.27,104.16
4.03,5.8,0.51,75.85,1.16,106.34
3.75,5.54,0.47,73.26,1.18,104.98
4.82,5.91,0.59,89.77,1.35,109.52
3.44,5.88,0.42,66.47,0.98,108.53
6.13,6.15,0.75,110.84,1.15,111.89
5.84,6.01,0.71,108,1.32,111.52
4.61,6.12,0.55,86.29,1.33,112.29
4.27,5.97,0.51,80.98,1.27,110.14
5.6,6.17,0.66,102.34,1.27,112.65
5.49,6.07,0.65,102.2,1.38,112.62
4.08,6.11,0.48,78.84,1.19,115.23
6.34,6.41,0.73,115.44,1.58,117.4
6.25,6.38,0.73,114.54,1.58,117.36
5.88,6.48,0.67,108.51,1.71,118.88
5.97,6.53,0.68,109.95,1.75,119.39
4.37,6.57,0.49,83.34,1.41,120.36
5.07,6.55,0.57,94.95,1.53,120.03
4.63,6.61,0.52,88.43,1.45,121.98
6.51,6.81,0.73,119.29,1.73,124.92
6.91,6.92,0.77,124.87,1.68,125.63
6.94,6.96,0.77,123.93,1.66,124.76
6.38,6.77,0.7,116.64,1.61,123.62
6.35,6.83,0.69,117.09,1.62,125.41
4.45,6.82,0.48,86.23,1.33,125.95
4.12,6.86,0.45,79.76,1.26,126.08
6.17,7.12,0.66,113.48,1.5,129.84
6.21,6.92,0.66,114.23,1.47,126.38
7.07,7.13,0.75,128.95,1.74,130.27
5.53,7.02,0.58,103.75,1.52,129.58
7.06,7.2,0.74,129.53,1.74,132.35
6.05,7.24,0.63,112.4,1.65,132.37
7.02,7.29,0.73,128.17,1.9,132.79
5.7,7.23,0.59,105.23,1.64,129.94
4.84,7.08,0.49,91.91,1.48,129.46
1.84,6.71,0.19,40.12,0.72,127.41
3.77,6.85,0.38,74.36,1.23,127.51
3.34,7.16,0.34,67.62,1.11,134.38
6.65,7.21,0.67,124.58,1.7,134.7
5.78,7.12,0.58,110.45,1.61,133.08
6.64,7.38,0.66,124.72,1.78,137.25
5.92,7.47,0.59,111.84,1.78,138.73
7.12,7.48,0.7,131.43,1.93,137.43
7.52,7.77,0.74,136.91,1.97,141.12
7.99,8.01,0.78,143.62,2.12,144.1
8.01,8.03,0.78,143.23,2.19,143.61
7.89,7.92,0.77,142.4,2.09,143.03
7.72,7.92,0.75,140.09,2,143.3
7.9,8,0.77,141.62,2.07,143.41
7.46,7.9,0.72,135.61,2.05,142.62
7.03,7.87,0.67,131.41,2.09,145.55
7.81,7.96,0.74,143.44,2.17,145.89
6.07,7.72,0.58,113.59,1.72,140.76
6.44,8.08,0.61,119.16,1.8,145.75
7.66,7.89,0.73,139.74,1.82,143.33
6.75,7.73,0.63,126.56,1.87,142.62
6.07,7.77,0.57,113.98,1.62,142.46
5.5,7.81,0.52,104.83,1.53,144.02
5.62,7.75,0.52,105.86,1.6,141.57
6.16,7.85,0.57,117.13,1.7,145.67
7.62,7.94,0.71,141.9,2.12,146.98
6.38,7.99,0.59,121.77,2.01,148.22
5.8,8.06,0.53,110.73,1.9,148.87
4.81,7.87,0.45,94.11,1.59,146.29
6.15,7.95,0.56,118.31,1.67,148.4
6.76,7.87,0.62,127.43,1.71,145.84
7.52,7.89,0.69,140.23,1.88,146.19
7.02,7.95,0.64,133.38,2.02,148.86
4.95,8.06,0.45,97.35,1.73,149.95
4.63,8.27,0.42,90.76,1.73,152.26
4.14,8.27,0.38,82.49,1.59,152.04
5.54,8.31,0.5,107.92,2.02,153.7
3.38,8.33,0.3,68.95,1.35,154.02
4.2,8.05,0.38,84.44,1.48,149.41
5.54,8.18,0.5,107.52,1.8,151.87
5.17,8.04,0.46,100.36,1.63,148.63
4.24,8.2,0.38,84.95,1.48,152.59
4.17,8.31,0.38,84.35,1.52,154.77
7.08,8.53,0.63,134.29,2.23,157.6
8.18,8.53,0.73,151.56,2.37,156.73
8.26,8.52,0.73,152.91,2.34,156.69
6.84,8.27,0.61,129.48,2.05,152.27
7.14,8.4,0.63,135.13,2.13,155.57
7.62,8.17,0.67,141.95,1.99,149.93
5.41,8.23,0.48,105.6,1.61,153.03
5.83,8.41,0.52,113.82,1.95,156.62
3.97,8.41,0.35,80.48,-999,157.77
5.77,8.29,0.51,112.66,1.75,154.63
5.2,8.18,0.46,102.29,1.63,151.45
3.13,8.16,0.27,65.11,-999,152.85
3.13,8.27,0.27,65.07,1.21,153.57
5.29,8.5,0.46,104.16,1.84,157.94
5.98,8.68,0.52,115.06,2.07,159.21
5.47,8.62,0.48,107.02,1.95,158.61
4.82,8.57,0.42,94.83,1.91,158.67
